label,X1528CSW2.1.1,X1528CSW2.1.2,X1528CSW2.1.3,X1528CSW2.1.4,X1528CSW2.2.1,X1528CSW2.2.2,X1528CSW2.2.3,X1528CSW2.2.4,X1528CSW2.3.3,X2710SW2.1.1
8baec2e220710b5b42b15ae2436a769f,0,0,0,0,0,0,0,0,0,0
3843f2f2f43587e0c77864115a121f8e,0,0,0,0,0,0,0,0,0,0
0df9293c0f26a49d2b0e43aa96494363,0,0,0,0,0,0,0,0,0,0
0772551f4bbd857a4e7a80e2abaca3a6,0,0,0,0,0,0,0,0,0,0
aa3255390e3e1306b8ec03e5e81956ee,0,0,0,0,0,0,0,0,0,0
c3a3be2d98ed1a296db9fe803ffe79a4,0,0,0,0,0,0,0,0,0,0
0d8e2f6f1a56c7a68dbc998d6e91a91d,0,0,0,0,0,0,0,0,0,0
a60db9899b8fe57050919e1df63ad5ae,0,0,0,0,0,0,0,0,0,0
1045de36dec0562f0d23e3a8b42ad57c,0,0,0,0,0,0,0,0,0,0
651a7a14e1c5bc640b0c14b5845ac574,0,0,0,0,0,0,0,0,0,0
bb89100fcb1ca00fa645e0c17c4756c9,0,0,0,0,0,0,0,0,0,0
7393a6062ce327cfd1f85220dda185c7,0,0,0,0,0,0,0,0,0,0
798d24ff65696f07e5664534ba108272,0,0,0,0,0,0,0,0,0,0
e7a03633bcff99edc8b35a1d44a04801,0,0,0,0,0,0,0,0,0,0
d8da6cae39f63fac0502cd4585341ede,0,0,0,0,0,0,0,0,0,0
e4884b96c8223f52c943fa1b9bb864f0,0,0,0,0,0,0,0,0,0,0
9adf5412890d6aee1f92f613bd9e08cc,0,0,0,0,0,0,0,0,0,0
9ef84a4dce6309ac7a5a13ced1a6f006,0,0,0,0,0,0,0,0,0,0
20cdce5a2ad4dda734a681bb5da12c1d,0,0,0,0,0,0,0,0,0,0
5fbfd08dcf7687c95801b6dee0716d0d,0,0,0,0,0,0,0,0,0,0
f390c03c305166dad871d3a04d310503,0,0,0,0,0,0,0,0,0,0
022e2bf030154f43b57f3f78b0295658,0,0,0,0,0,0,0,0,0,0
1842f11eb3ae25afdf458f25da1af88a,0,0,0,0,0,0,0,0,0,0
27a31a93822af926fb99279ada0e567a,0,0,0,0,0,0,0,0,0,0
369c4636233d3ab96efceb7ce9760fec,0,0,0,0,0,0,0,0,0,0
b1e676aafa16b168509f32ed2d203295,0,0,0,0,0.093348891,0,0,0,0,0
2b1f7d36af223b8a41c96f46ecc03232,0,0,0,0,0,0,0,0,0,0
76c7bfab0707cf03e5529ebf4235d912,0,0,0,0,0,0,0,0,0,0
445cf681f06acece04bfd5cff7ec8cc9,0,0,0,0,0,0,0,0,0,0
5f90c5d93a295d395f54ceb9326c143c,0,0,0,0,0,0,0,0,0,0
ed714dd0f09fd1e0b1eac126d21a7c51,0,0,0,0,0,0,0,0,0,0
0ff9a3b61456f992d54196392bc5309b,0,0,0,0,0,0,0,0,0,0
8435e2c5ba57a08637a67197fdbd52bf,0,0,0,0,0,0,0,0,0,0
a4a3b261c4452a34b189f0ca42482181,0,0,0,0,0,0,0,0,0,0
810ec9cc7abd804130bd826be80d8d88,0,0,0,0,0,0,0,0,0,0
32ff611d865102205c65f6accdea0cf1,0,0,0,0,0,0,0,0,0,0
59dcb3b553d84242b56c0e5acbe75295,0,0,0,0,0,0,0,0,0,0
0aeef3434c3a40e77f654c343e309b99,0,0,0,0,0,0,0,0,0,0
bf74c9ee4e38e0d3937b7c02054d9c93,0.700525394,0,0,0,0,0,0,0,0,0
cbfed9720c3ce16deb685af0d4890553,0,0,0,0,0,0,0,0,0,0
c51baa59428c968db12312b577509f6b,0,0,0,0,0,0,0,0,0,0
e72f8dbb76362c0d27602e2303fc3cc9,0,0,0.049701789,0.070921986,0,0.728407908,0,0.099737057,0.012823253,0
7843dec5447510eac2032ae666ed5595,0,0,0,0,0,0,0,0,0,0
